name,D_deg_unw,D_deg_wm,D_er_unw,D_er_wm,I_real,dataset_type,N,E,mean_degree,is_weighted,lambda2,clustering,modularity,I_deg,I_ER,measured,cat
econ-mbeacxc.mtx,0.13453584558485437,0.10403950378644646,0.18506091107364142,0.11294966709923487,0.06516182376439868,Economic,487.0,41686.0,171.19507186858317,True,3.9856477020888335,0.7227292201805865,0.1723001708753715,0.10403950378644646,0.11294966709923487,True,Economic
econ-psmigr1.mtx,0.15610745314417837,0.10830039810358139,0.19227743434367206,0.14689774314428247,0.07652414121895218,Economic,3140.0,410781.0,261.643949044586,True,4.9926228868154094,0.4963747215109449,0.4731414736814336,0.10830039810358139,0.14689774314428247,True,Economic
fb-pages-food.edges.cleaned.tsv,0.10320406434987002,0.10320406434987002,0.1402120260425855,0.1402120260425855,0.06148227097457367,social_networks_repo,620.0,2091.0,6.745161290322581,False,0.025796898530547,0.3308970263553273,0.6321502437743596,0.10320406434987002,0.1402120260425855,True,Social
fb-pages-government.edges.cleaned.tsv,0.13297959577493182,0.13297959577493182,0.16906657216810303,0.16906657216810303,0.06405941625206248,social_networks_repo,7057.0,89429.0,25.34476406404988,False,0.1794162524163684,0.4108842262244525,0.6315091636994804,0.13297959577493182,0.16906657216810303,True,Social
fb-pages-politician.edges.cleaned.tsv,0.13016924418025125,0.13016924418025125,0.16574606363907962,0.16574606363907962,0.0762287415019382,social_networks_repo,5908.0,41706.0,14.118483412322275,False,0.0355989638394442,0.3850961257932755,0.8149598426330549,0.13016924418025125,0.16574606363907962,True,Social
fb-pages-tvshow.edges.cleaned.tsv,0.12746104216270898,0.12746104216270898,0.15712205659589978,0.15712205659589978,0.07850247774711894,social_networks_repo,3892.0,17239.0,8.85868448098664,False,0.0107361427699259,0.3737384324597403,0.82869490592637,0.12746104216270898,0.15712205659589978,True,Social
ia-email-univ.mtx,0.12691502946456515,0.12691502946456515,0.14689651746737845,0.14689651746737845,0.08303207424100541,Interaction,1133.0,5451.0,9.62224183583407,False,0.3325603639560671,0.220176086504116,0.5033890600406193,0.12691502946456515,0.14689651746737845,True,Interaction
ia-infect-hyper.mtx,0.13542037638311558,0.13542037638311558,0.16636997340670664,0.16636997340670664,0.13292848847617825,Interaction,113.0,2196.0,38.86725663716814,False,0.9986534427140192,0.5347555956050044,0.0806132237451103,0.13542037638311558,0.16636997340670664,True,Interaction
ia-primary-school-proximity.edges,0.15109696502998385,0.1432422851714279,0.1822074442624473,0.15553124600385201,0.07783024802886893,Interaction,242.0,8317.0,68.73553719008264,True,17.035400143139814,0.5255415410620272,0.2590723862430842,0.1432422851714279,0.15553124600385201,True,Interaction
ia-reality.mtx,0.15124670416351482,0.15124670416351482,0.11779999599201811,0.11779999599201811,0.11208776828291615,Interaction,6809.0,7680.0,2.255837861653694,False,0.0154915375566777,0.0177709143817227,0.8731865607367622,0.15124670416351482,0.11779999599201811,True,Interaction
inf-USAir97.mtx.cleaned.tsv,0.1151406979919561,0.05580129654699043,0.1571294829053081,0.10270097479950821,0.015062303312601649,infrastructure_networks,332.0,2126.0,12.80722891566265,True,0.1204842021345659,0.625217249162503,0.1448702064835039,0.05580129654699043,0.10270097479950821,True,Infrastructure
inf-euroroad.edges.cleaned.tsv,0.09882790074353895,0.09882790074353895,0.08038727525825093,0.08038727525825093,0.025757776390745155,infrastructure_networks,1039.0,1305.0,2.512030798845043,False,0.0011602963048537,0.0189055410422109,0.864017556994172,0.09882790074353895,0.08038727525825093,True,Infrastructure
power-US-Grid.mtx,0.10220110418902799,0.10220110418902799,0.12522900792708122,0.12522900792708122,0.0052437090836147246,Power,4941.0,6594.0,2.66909532483303,False,0.0007592122113534,0.0801036110815971,0.9361333576934904,0.10220110418902799,0.12522900792708122,True,Power
power-bcspwr10.mtx,0.1257919135830379,0.1257919135830379,0.11560292023903924,0.11560292023903924,0.00842147510801988,Power,5300.0,8271.0,3.121132075471698,False,0.0009621700193025,0.0880352592899762,0.9267105179239806,0.1257919135830379,0.11560292023903924,True,Power
